phase,ลำดับ PWA,ลำดับ PEA,กปภ.สาขา,แม่ข่่าย/หน่วยบริการ,สถานที่,เลขบัญชีผู้ใช้ไฟ,หมายเลขมิเตอร์,Team,Zero export,กำลังการผลิต,Layout,Pvsyst,For Con Rev.00,Civil Check,EE Check,รายการคำนวณ,จำนวนแผง,125 kW,80 kW,60 kW,40 kW,FTS,REVENUE,PQM,ประเภทมิเตอร์ไฟ,มิเตอร์น้ำ,ประเภทที่ดิน,กปภ.เขต,กฟภ.เขต,กฟภ.เขต,Lat,Long,จัังหวัด,Column 1,TEAM,ที่อยู่,Team เก่า,Column 36
2,68,53,กปภ.สาขาพนัสนิคม,น.พานทอง,สถานีจ่ายน้ำพานทอง,20018738468,27668493,C,MV,437.76,1,1,1,,,1,768,3,,,,11,1,1,แรงสูง,,ที่ดิน กปภ.,1,ก.2,ก,13.45613,101.0821,ชลบุรี,1,C,ต.พานทอง อ.พานทอง จ.ชลบุรี 20160,C,1
2,69,54,กปภ.สาขาพนัสนิคม,ม.พนัสนิคม,สถานีผลิตน้ำท่าโพธิ์,20001986291,19937148,C,MV,269.04,1,1,1,,,1,472,2,,,,8,1,1,แรงสูง,,ที่ราชพัสดุ,1,ก.2,ก,13.43433,101.17682,ชลบุรี,1,C,ต.กุฏโง้ง อ.พนัสนิคม จ.ชลบุรี 20140,C,1
2,70,55,กปภ.สาขาพัทยา,ม.พัทยา,สถานีผลิตน้ำหนองกลางดง,20001557556,23055332,C,MV,999.78,1,1,1,,,1,1754,5,3,1,,24,2,1,แรงสูง,,ราชพัสดุ (26-2-67 ไร่) และที่สาธาณประโยชน์(15-0-62 ไร่),1,ก.2,ก,13.04942,100.99847,ชลบุรี,1,S,ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,S,1
2,71,56,กปภ.สาขาศรีราชา,ม.ศรีราชา,สถานีผลิตน้ำศรีราชา,20017702371,6001697389,C,MV,191.52,1,1,1,,,1,336,1,1,,,5,1,1,แรงสูง,,ที่ดิน กปภ.,1,ก.2,ก,13.14487,101.01761,ชลบุรี,1,S,ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20110,S,1
2,75,65,กปภ.สาขาโชคชัย,ม.โชคชัย,สถานีผลิตน้ำโชคชัย,20013185171,27660146,E1,LV (เสาหม้อแปลงไม่มีพื้นที่ในการทำZero Export แรงสูง),171,1,1,1,,,,300,1,,1,,6,1,0,แรงสูง,,นสล.8755,2,ฉ.3,ฉ,14.72746,102.16276,นครราชสีมา,2,S,ต.โชคชัย อ.โชคชัย จ.นครราชสีมา 30190,C,0
2,76,66,กปภ.สาขาโชคชัย,ม.โชคชัย,สถานีผลิตน้ำพลับพลา,20017613498,27660141,E1,MV,344.28,1,1,1,,,,604,2,,1,,10,2,1,แรงสูง,,ที่ดิน กปภ.โฉนดเลขที่ 9949,2,ฉ.3,ฉ,14.71361,102.16574,นครราชสีมา,2,S,ต.พลับพลา อ.โชคชัย จ.นครราชสีมา 30190,C,0
2,78,68,กปภ.สาขาด่านขุนทด,ม.ด่านขุนทด,สถานีผลิตน้ำอ่างเก็บน้ำลำเชียงไกร(ตอนบน),20021221003,6300033150,E1,MV,129.96,1,1,1,,,,228,1,,,,4,1,1,แรงสูง,,เช่า ที่ราชพัสดุ เลขที่ นม 3580,2,ฉ.3,ฉ,15.1947,101.6457,นครราชสีมา,2,S,ต.บ้านเก่า อ.ด่านขุนทด จ.นครราชสีมา 30210,S,#REF!
2,81,71,กปภ.สาขาปักธงชัย,ม.ปักธงชัย,สถานีจ่ายน้ำปักธงชัย,20013997525,5701539944,E1,MV,216.6,1,1,1,,,,380,1,,1,,7,1,1,แรงสูง,,ที่ราชพัสดุ เลขที่ นม 729/ เช่า,2,ฉ.3,ฉ,14.69534,102.01376,นครราชสีมา,2,S,ต.งิ้ว อ.ปักธงชัย จ.นครราชสีมา 30150,S,1
2,82,72,กปภ.สาขาปากช่อง,ม.ปากช่อง,สถานีผลิตน้ำราชประชา,20013502604,23047661,E1,MV,312.36,1,1,1,,,,548,1,2,,,9,1,1,แรงสูง,,เช่าอาคารราชพัสดุ,2,ฉ.3,ฉ,14.688,101.40793,นครราชสีมา,2,S,ต.ปากข่อง อ.ปากช่อง จ.นครราชสีมา 30130,S,1
2,102,74,กปภ.สาขาจัตุรัส,ม.จัตุรัส,โรงกรองน้ำโนนจาน,20013418924,23064137,E1,MV,139.08,1,1,1,,,,244,1,,,,4,1,1,แรงสูง,,ที่สาธาณประโยชน์,6,ฉ.3,ฉ,15.63778,101.93905,ชัยภูมิ,2,C,ต.ละหาน อ.จัตุรัส จ.ชัยภูมิ 36130,C,1
